Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.74809
0.10000,-0.19659,-1.50541
0.20000,-0.40144,-1.65716
0.30000,-0.60197,-1.76665
0.40000,-0.80203,-1.91162
0.50000,-1.00200,-2.04079
0.60000,-1.20206,-2.14872
0.70000,-1.40203,-2.27121
0.80000,-1.60200,-2.39033
0.90000,-1.80197,-2.49818
1.00000,-2.00203,-2.61076
1.10000,-2.20191,-2.71337
1.20000,-2.40188,-2.81184
1.30000,-2.60194,-2.91475
1.40000,-2.80200,-3.02622
1.50000,-3.00197,-3.10354
1.60000,-3.20184,-3.20485
1.70000,-3.40200,-3.26927
1.80000,-3.60197,-3.36731
1.90000,-3.80213,-3.44943
2.00000,-4.00200,-3.53705
2.10000,-4.20206,-3.62239
2.20000,-4.40213,-3.71434
2.30000,-4.60209,-3.78292
2.40000,-4.80206,-3.85290
2.50000,-5.00194,-3.91359
2.60000,-5.20209,-4.00190
2.70000,-5.40197,-4.06719
2.80000,-5.60194,-4.15031
2.90000,-5.80209,-4.23187
3.00000,-6.00197,-4.28560
3.10000,-6.20203,-4.35062
3.20000,-6.40200,-4.41651
3.30000,-6.60206,-4.47775
3.40000,-6.80194,-4.54294
3.50000,-7.00200,-4.61499
3.60000,-7.20206,-4.65630
3.70000,-7.40203,-4.71314
3.80000,-7.60209,-4.78548
3.90000,-7.80197,-4.82006
4.00000,-8.00194,-4.88626
4.10000,-8.20191,-4.93981
4.20000,-8.40197,-5.00497
4.30000,-8.60194,-5.05253
4.40000,-8.80200,-5.12827
4.50000,-9.00188,-5.16812
4.60000,-9.20203,-5.22351
4.70000,-9.40200,-5.29220
4.80000,-9.60206,-5.34191
4.90000,-9.80213,-5.40231
5.00000,-10.00191,-5.46635
5.10000,-10.20197,-5.52600
5.20000,-10.40213,-5.56641
5.30000,-10.60200,-5.63396
5.40000,-10.80206,-5.68464
5.50000,-11.00203,-5.72724
5.60000,-11.20200,-5.80679
5.70000,-11.40197,-5.84453
5.80000,-11.60203,-5.88458
5.90000,-11.80200,-5.94126
6.00000,-12.00197,-5.99463
6.10000,-12.20194,-6.02333
6.20000,-12.40200,-6.06971
6.30000,-12.60197,-6.11923
6.40000,-12.80203,-6.16881
6.50000,-13.00191,-6.20852
6.60000,-13.20197,-6.25613
6.70000,-13.40194,-6.30270
6.80000,-13.60200,-6.35350
6.90000,-13.80206,-6.38288
7.00000,-14.00203,-6.45601
7.10000,-14.20219,-6.49480
7.20000,-14.40206,-6.54896
7.30000,-14.60184,-6.59672
