Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,1.06029
0.08200,-0.79538,-3.95705
0.10700,-1.05881,-9.09167
0.20700,-2.07713,-12.78156
0.30700,-3.07978,-15.47460
0.40700,-4.08019,-17.84586
0.50700,-5.07975,-20.02617
0.60700,-6.08025,-21.95966
0.70700,-7.08009,-23.72945
0.80700,-8.07956,-25.29484
0.90700,-9.08016,-26.81403
1.00700,-10.08009,-28.23528
1.10700,-11.07966,-29.60125
1.20700,-12.08016,-30.92473
1.30700,-13.07991,-32.19777
1.40700,-14.07975,-33.45939
1.50700,-15.08016,-34.71148
1.60700,-16.08019,-35.92647
1.70700,-17.07966,-37.21751
1.80700,-18.08006,-38.45359
1.90700,-19.08019,-39.68628
2.00700,-20.07975,-40.94416
2.10700,-21.08034,-42.19696
2.20700,-22.08009,-43.43734
2.30700,-23.07966,-44.72137
2.40700,-24.08016,-46.08173
2.50700,-25.08009,-47.47391
2.60700,-26.07975,-48.91413
2.70700,-27.08016,-50.35378
2.80700,-28.08000,-51.74618
2.90700,-29.07956,-53.26829
3.00700,-30.08016,-54.79000
3.10700,-31.08019,-56.48030
3.20700,-32.07966,-58.07709
3.30700,-33.08016,-59.81097
3.40700,-34.08010,-61.55296
3.50700,-35.07975,-63.43693
3.60700,-36.08025,-65.31305
3.70700,-37.08009,-67.29552
3.80700,-38.07956,-69.31608
3.90700,-39.08016,-71.40554
4.00700,-40.08019,-73.47135
4.10400,-41.04975,-75.82662
