Distance,Top,Middle-T,Middle-B,Bottom
0,0.720043,0.721859,0.719646,0.663081
0,0.720195,0.720684,0.718242,0.663203
0,0.719783,0.722194,0.721218,0.665141
0,0.720989,0.722164,0.721035,0.66479
0,0.721233,0.723262,0.720607,0.663752
0,0.7196,0.722591,0.72015,0.663325
0,0.720607,0.722286,0.72137,0.664576
0,0.720317,0.721309,0.719478,0.664393
0,0.721401,0.722637,0.718471,0.662394
0.5,0.720119,0.721462,0.709331,0.637201
0.5,0.719203,0.720058,0.709514,0.638727
0.5,0.719432,0.720653,0.710262,0.637964
0.5,0.71809,0.720302,0.710124,0.639429
0.5,0.720897,0.721843,0.708736,0.636515
0.5,0.720256,0.722347,0.710781,0.637385
0.5,0.718074,0.719921,0.710475,0.639735
0.5,0.7196,0.721462,0.710964,0.6383
0.5,0.720073,0.721859,0.710811,0.638605
0.5,0.718608,0.720867,0.711238,0.639307
0.5,0.72018,0.721813,0.709957,0.637629
0.5,0.720989,0.721981,0.709255,0.635325
0.5,0.720729,0.722576,0.710475,0.636576
0.5,0.719478,0.721675,0.710887,0.638498
0.5,0.722042,0.722469,0.710048,0.636835
0.5,0.720211,0.721935,0.71075,0.638331
0.5,0.721111,0.722377,0.710933,0.637919
1,0.721553,0.720256,0.676341,0.671992
1,0.722087,0.719783,0.674784,0.670726
1,0.720729,0.719478,0.675746,0.671748
1,0.721859,0.71989,0.67483,0.670451
1,0.719448,0.718532,0.675624,0.672175
1,0.718929,0.71931,0.676814,0.672847
1,0.719539,0.718715,0.67483,0.670771
1,0.719692,0.718044,0.674311,0.671473
1,0.720485,0.718196,0.674891,0.671427
1,0.721065,0.719554,0.676173,0.673594
1,0.718578,0.718059,0.674937,0.67248
1,0.719081,0.717083,0.67483,0.672709
1,0.720699,0.719387,0.675898,0.671992
1,0.720058,0.720302,0.676631,0.671412
1,0.718898,0.718654,0.677028,0.673686
1,0.719539,0.719295,0.675761,0.671977
1.5,0.721263,0.710155,0.641016,0.705989
1.5,0.720119,0.710124,0.642695,0.707652
1.5,0.719738,0.70837,0.639887,0.705562
1.5,0.720195,0.710384,0.641566,0.706477
1.5,0.719722,0.708934,0.64004,0.704799
1.5,0.720638,0.709102,0.639719,0.705089
1.5,0.721019,0.710536,0.641291,0.706355
1.5,0.721401,0.70898,0.639689,0.704799
1.5,0.719493,0.708583,0.640421,0.705287
1.5,0.721309,0.711849,0.641993,0.705776
1.5,0.720592,0.710704,0.641367,0.704631
1.5,0.72015,0.708217,0.638972,0.703899
1.5,0.722026,0.710262,0.640436,0.705425
1.5,0.721248,0.710506,0.64123,0.706127
2,0.718593,0.675486,0.668406,0.717739
2,0.719844,0.678523,0.670039,0.717128
2,0.717632,0.674876,0.667781,0.716777
2,0.718532,0.675502,0.669093,0.718196
2,0.718456,0.676677,0.669688,0.718807
2,0.719097,0.67509,0.668284,0.716884
2,0.719509,0.677577,0.670375,0.719051
2,0.718654,0.676188,0.66949,0.717922
2,0.718059,0.675471,0.669108,0.717433
2,0.718318,0.674754,0.668025,0.718166
2,0.71841,0.677256,0.671672,0.719783
2,0.71902,0.677378,0.67013,0.718303
2,0.720088,0.677119,0.668055,0.715938
2,0.717327,0.67602,0.670558,0.720699
2,0.719524,0.675486,0.667903,0.716579
2,0.720256,0.678126,0.669947,0.717067
2,0.720302,0.675471,0.666957,0.716609
2,0.719615,0.677119,0.67042,0.718318
2.5,0.714046,0.640635,0.698451,0.719646
2.5,0.715557,0.640803,0.697963,0.718898
2.5,0.714717,0.64181,0.69955,0.718669
2.5,0.713878,0.64152,0.700496,0.719966
2.5,0.713619,0.641459,0.700084,0.721309
2.5,0.714397,0.640726,0.698756,0.719448
2.5,0.712856,0.639887,0.699718,0.721157
2.5,0.71545,0.643214,0.700374,0.71899
2.5,0.715267,0.642451,0.700908,0.720104
2.5,0.713756,0.642222,0.701198,0.720058
2.5,0.714305,0.640833,0.699001,0.720119
2.5,0.71635,0.64181,0.698222,0.718624
2.5,0.714885,0.641398,0.698985,0.719387
2.5,0.715053,0.641581,0.699565,0.71975
3,0.701503,0.638422,0.71548,0.718944
3,0.699458,0.637873,0.717357,0.720699
3,0.698268,0.636362,0.717006,0.721462
3,0.699962,0.638331,0.716701,0.719356
3,0.699489,0.635126,0.714199,0.719417
3,0.699351,0.636576,0.715526,0.719783
3,0.699977,0.636927,0.716167,0.720058
3,0.699855,0.636408,0.715496,0.719631
3,0.699413,0.637018,0.715953,0.719631
3,0.699641,0.637385,0.715785,0.720226
3,0.700542,0.63772,0.715862,0.720302
3,0.700786,0.636957,0.716426,0.71957
3,0.701183,0.636316,0.713924,0.718425
3,0.699886,0.638178,0.717754,0.72018
3,0.699748,0.636637,0.715801,0.719722
